payer_id,first_name,last_name,date_of_birth,age,address,city,province,employment_status,annual_income_cad,marital_status
90,Christina,Cruz,1988-02-21,38,"358 Pine St, Edmonton, Alberta G2O 9X9",Edmonton,Alberta,Part-time,19777,Divorced
91,Karen,Mitchell,1995-12-02,31,"8182 Pine St, Winnipeg, Manitoba B6V 4O6",Winnipeg,Manitoba,Full-time,65779,Divorced
92,Sarah,Bailey,1998-04-10,28,"302 First Ave, Montreal, Quebec J6V 4Q4",Montreal,Quebec,Part-time,17323,Widowed
93,Gary,King,2003-07-05,23,"612 Washington Ave, Winnipeg, Manitoba G4R 1G8",Winnipeg,Manitoba,Full-time,71654,Married
94,Ryan,Morgan,2007-06-03,19,"5464 School St, Brandon, Manitoba Z5N 1W0",Brandon,Manitoba,Full-time,72302,Widowed
95,Barbara,Adams,1986-08-18,40,"1264 Main St, Mississauga, Ontario Q9S 4I2",Mississauga,Ontario,Unemployed,0,Divorced
96,Frank,Phillips,2008-07-23,18,"2673 Main St, Vancouver, British Columbia S7Z 4T3",Vancouver,British Columbia,Full-time,55519,Single
97,Kevin,Cruz,1996-09-29,30,"5910 Wilson Ave, Laval, Quebec D8I 9C4",Laval,Quebec,Part-time,16941,Single
98,Scott,Murphy,2007-11-22,19,"2900 Franklin St, Brampton, Ontario E1I 0V6",Brampton,Ontario,Part-time,22440,Married
99,Linda,Gomez,2005-01-14,21,"268 Franklin St, Brandon, Manitoba Z1M 0Q1",Brandon,Manitoba,Unemployed,0,Married
100,Thomas,Parker,1989-11-17,37,"8969 High St, Brandon, Manitoba Y0Q 4L9",Brandon,Manitoba,Part-time,24639,Widowed
101,Samuel,Hernandez,2004-12-18,22,"6064 Clinton St, Hamilton, Ontario K9T 9M7",Hamilton,Ontario,Part-time,24827,Married
102,Frank,Rivera,1986-12-02,40,"6621 Elm St, Ottawa, Ontario L3K 1S4",Ottawa,Ontario,Part-time,23236,Widowed
103,Michelle,Martinez,1989-11-14,37,"8856 Maple Ave, Ottawa, Ontario O6Z 1Z9",Ottawa,Ontario,Part-time,17683,Divorced
104,Kevin,Hill,1986-05-22,40,"9788 Wilson Ave, Ottawa, Ontario B1P 1Y9",Ottawa,Ontario,Unemployed,0,Single
105,Dorothy,Wilson,1987-02-08,39,"5859 Spring St, Calgary, Alberta I7E 2I0",Calgary,Alberta,Unemployed,0,Married
106,Matthew,Cook,1992-09-18,34,"432 First Ave, Red Deer, Alberta L3K 6L9",Red Deer,Alberta,Unemployed,0,Common-law
107,Sharon,Thomas,1985-05-07,41,"5838 School St, Winnipeg, Manitoba U0A 5S7",Winnipeg,Manitoba,Unemployed,0,Common-law
108,Nicholas,Edwards,1992-02-08,34,"8437 Queen St, Winnipeg, Manitoba Z5X 1Q2",Winnipeg,Manitoba,Part-time,15317,Widowed
109,Michael,Phillips,1986-08-29,40,"2645 Church St, Brandon, Manitoba U1M 4O7",Brandon,Manitoba,Part-time,15671,Common-law
110,Gary,Lopez,1985-10-25,41,"8885 Wilson Ave, Burnaby, British Columbia J9X 5H8",Burnaby,British Columbia,Unemployed,0,Married
111,Barbara,Murphy,1998-03-11,28,"2330 Lincoln Ave, Red Deer, Alberta N4N 8O0",Red Deer,Alberta,Part-time,18234,Widowed
112,John,Gonzalez,2005-12-03,21,"7782 Franklin St, Victoria, British Columbia A9E 6B1",Victoria,British Columbia,Full-time,55764,Married
113,Brandon,Robinson,1989-04-07,37,"4116 Main St, Vancouver, British Columbia B1G 5K5",Vancouver,British Columbia,Part-time,18226,Divorced
114,William,Cruz,1990-09-30,36,"6214 Second Ave, London, Ontario K2P 7W8",London,Ontario,Full-time,55009,Widowed
115,Lauren,Cooper,1984-02-06,42,"9472 Jefferson St, Victoria, British Columbia F8N 8U1",Victoria,British Columbia,Full-time,73608,Divorced
116,David,Lee,2002-11-30,24,"304 Jackson St, Laval, Quebec E8K 8D6",Laval,Quebec,Part-time,24184,Divorced
117,Barbara,Ortiz,1987-06-19,39,"7239 Spring St, Calgary, Alberta X0I 6K5",Calgary,Alberta,Full-time,45594,Common-law
118,Elizabeth,Green,1994-08-04,32,"1313 Lincoln Ave, London, Ontario S8Y 1H2",London,Ontario,Part-time,24952,Single
119,Michelle,Hall,1988-10-29,38,"7852 Clinton St, Ottawa, Ontario G1I 3Y2",Ottawa,Ontario,Part-time,16326,Single
120,Mary,Baker,1988-12-21,38,"621 Oak St, London, Ontario T8Y 7V6",London,Ontario,Unemployed,0,Common-law
121,Brian,Gomez,2006-07-05,20,"6912 Oak St, Ottawa, Ontario F6U 6F2",Ottawa,Ontario,Part-time,15131,Divorced
122,Scott,Peterson,1995-06-24,31,"3601 Adams St, Brampton, Ontario B4M 6E0",Brampton,Ontario,Unemployed,0,Married
123,Jessica,Morales,1989-01-31,37,"7319 Madison Ave, Victoria, British Columbia M3P 2B2",Victoria,British Columbia,Part-time,22068,Widowed
124,Stephanie,Miller,2003-03-14,23,"9608 Johnson St, London, Ontario H4F 1N6",London,Ontario,Unemployed,0,Married
125,Laura,Ramirez,1982-05-01,44,"1629 Johnson St, Quebec City, Quebec W5G 9H6",Quebec City,Quebec,Full-time,58362,Common-law
126,William,Campbell,1986-10-29,40,"7307 Pine St, Montreal, Quebec D5D 4E4",Montreal,Quebec,Part-time,22948,Divorced
127,Kenneth,Lopez,1997-02-24,29,"167 Park Ave, Ottawa, Ontario A0Q 9Q0",Ottawa,Ontario,Unemployed,0,Divorced
128,Samuel,Young,1991-01-06,35,"5321 Jackson St, Victoria, British Columbia I7C 7J4",Victoria,British Columbia,Unemployed,0,Divorced
129,Jennifer,Ortiz,1997-04-12,29,"8022 Main St, Lethbridge, Alberta I2Y 6O5",Lethbridge,Alberta,Part-time,21792,Divorced
130,Sharon,Martinez,2006-05-16,20,"8988 Church St, Laval, Quebec J8Z 3C5",Laval,Quebec,Full-time,53949,Common-law
131,Jennifer,Gonzalez,2005-01-31,21,"751 Queen St, Montreal, Quebec F4Z 7H0",Montreal,Quebec,Unemployed,0,Widowed
132,Jessica,Morris,1987-11-15,39,"8368 School St, Montreal, Quebec Z1J 3R9",Montreal,Quebec,Full-time,59896,Single
133,Michelle,Morales,2000-04-22,26,"371 Mill St, Burnaby, British Columbia P5T 0I9",Burnaby,British Columbia,Full-time,48389,Divorced
134,Kevin,Anderson,1999-10-29,27,"9525 Franklin St, Hamilton, Ontario N6D 7M5",Hamilton,Ontario,Full-time,71571,Widowed
135,Lisa,Hall,2003-11-28,23,"3343 Elm St, Steinbach, Manitoba Z5K 3S1",Steinbach,Manitoba,Full-time,52778,Married
136,Sharon,Brown,2006-10-23,20,"5292 Franklin St, Quebec City, Quebec D1N 5L6",Quebec City,Quebec,Full-time,66264,Widowed
137,Donald,Ramirez,2007-07-04,19,"9008 Main St, Mississauga, Ontario W1Q 5M9",Mississauga,Ontario,Unemployed,0,Married
138,Carol,Diaz,1987-12-19,39,"5035 Lincoln Ave, Lethbridge, Alberta F1Q 7Z0",Lethbridge,Alberta,Full-time,43630,Single
139,Jessica,Scott,2007-04-15,19,"7268 King St, Surrey, British Columbia Y6U 4G4",Surrey,British Columbia,Part-time,23807,Widowed
140,Joseph,Nguyen,2000-03-15,26,"2932 Franklin St, Victoria, British Columbia M1Z 9X2",Victoria,British Columbia,Full-time,46386,Divorced
141,Jennifer,Gonzalez,1989-06-20,37,"2316 Jefferson St, Mississauga, Ontario G7F 8L9",Mississauga,Ontario,Full-time,65591,Widowed
142,Nicole,White,1990-06-18,36,"4027 Lincoln Ave, Steinbach, Manitoba Y4N 2E2",Steinbach,Manitoba,Part-time,24782,Common-law
143,Gregory,Miller,1997-05-23,29,"6915 King St, Quebec City, Quebec C1A 5U3",Quebec City,Quebec,Part-time,19073,Widowed
144,Jessica,Flores,1993-01-21,33,"9693 Adams St, Toronto, Ontario S5H 0S6",Toronto,Ontario,Part-time,18580,Common-law
145,Catherine,Roberts,1998-11-18,28,"7872 Jefferson St, Surrey, British Columbia C5O 5A1",Surrey,British Columbia,Full-time,71907,Common-law
146,Nicholas,Ortiz,1991-11-22,35,"336 Washington Ave, Brandon, Manitoba D8L 4W3",Brandon,Manitoba,Part-time,24314,Widowed
147,Daniel,Roberts,1987-12-07,39,"5806 Water St, Brandon, Manitoba W1O 6W5",Brandon,Manitoba,Part-time,19108,Married
148,Karen,Bailey,1992-06-17,34,"5846 Adams St, Montreal, Quebec N2I 9U2",Montreal,Quebec,Part-time,20005,Divorced
149,Helen,Wilson,2005-11-11,21,"2760 Maple Ave, Ottawa, Ontario D2A 5R8",Ottawa,Ontario,Full-time,62644,Common-law
150,Ruth,Evans,2004-11-10,22,"8180 Wilson Ave, Hamilton, Ontario C3Z 9Y2",Hamilton,Ontario,Unemployed,0,Divorced
151,Catherine,Nguyen,2002-08-20,24,"3161 Main St, Winnipeg, Manitoba L5Z 7R9",Winnipeg,Manitoba,Full-time,56672,Married
152,Sandra,White,1990-05-04,36,"8893 Main St, Red Deer, Alberta G0H 7B1",Red Deer,Alberta,Part-time,21895,Divorced
153,Timothy,Cooper,1996-12-02,30,"8782 Wilson Ave, Toronto, Ontario P0Y 0Y6",Toronto,Ontario,Unemployed,0,Widowed
154,Ryan,Edwards,1996-11-07,30,"6810 Main St, Hamilton, Ontario Y1D 0H6",Hamilton,Ontario,Full-time,43730,Single
155,Anthony,Walker,2005-11-15,21,"5132 High St, Surrey, British Columbia V9N 4C8",Surrey,British Columbia,Part-time,21081,Widowed
156,Rebecca,Lee,1991-10-16,35,"7757 Maple Ave, Hamilton, Ontario F2W 1U3",Hamilton,Ontario,Part-time,21330,Common-law
157,Lisa,Thompson,1989-08-19,37,"2446 Church St, Hamilton, Ontario C9E 5F2",Hamilton,Ontario,Unemployed,0,Common-law
158,Carol,Smith,1984-03-16,42,"380 First Ave, Vancouver, British Columbia C1X 4G4",Vancouver,British Columbia,Unemployed,0,Single
159,Lisa,Ortiz,2006-12-17,20,"4205 Second Ave, Brampton, Ontario Y1E 2T3",Brampton,Ontario,Part-time,20261,Common-law
160,Jessica,Green,1994-11-30,32,"8499 Church St, Winnipeg, Manitoba R9P 5W6",Winnipeg,Manitoba,Unemployed,0,Married
161,Lisa,Evans,1984-08-31,42,"2079 Oak St, Laval, Quebec P4Q 8P7",Laval,Quebec,Full-time,49386,Common-law
162,Helen,Walker,2000-07-17,26,"6773 Water St, Burnaby, British Columbia L4J 7U8",Burnaby,British Columbia,Part-time,16214,Divorced
163,Linda,Evans,2006-04-06,20,"4647 Water St, Vancouver, British Columbia F9X 9Y1",Vancouver,British Columbia,Part-time,23292,Single
164,Edward,Cruz,1982-12-24,44,"2450 First Ave, Laval, Quebec D5E 3P0",Laval,Quebec,Unemployed,0,Single
165,Kenneth,Martinez,2008-09-15,18,"2658 Clinton St, Vancouver, British Columbia W5H 5Q6",Vancouver,British Columbia,Full-time,55608,Widowed
166,Jeffrey,Hernandez,2000-01-29,26,"3694 First Ave, Vancouver, British Columbia L9B 7X0",Vancouver,British Columbia,Part-time,19458,Divorced
167,James,Roberts,1984-06-09,42,"9932 Pine St, Laval, Quebec Q2R 4J7",Laval,Quebec,Unemployed,0,Married
168,Benjamin,Scott,1999-06-04,27,"4020 Clinton St, Quebec City, Quebec P2H 6Q9",Quebec City,Quebec,Unemployed,0,Married
169,Joseph,Nguyen,1985-08-26,41,"9308 Main St, Ottawa, Ontario B2R 6P5",Ottawa,Ontario,Part-time,18037,Widowed
170,Sandra,Morgan,1995-05-07,31,"2055 Spring St, Surrey, British Columbia I9Y 7H3",Surrey,British Columbia,Part-time,21315,Married
171,Jacob,Hernandez,1994-08-08,32,"7610 Queen St, Quebec City, Quebec J6I 1Z3",Quebec City,Quebec,Part-time,20866,Widowed
172,Alexander,Lewis,1993-01-10,33,"8697 Oak St, Edmonton, Alberta P1L 5N7",Edmonton,Alberta,Full-time,67388,Divorced
173,Catherine,Wright,2000-01-19,26,"3884 First Ave, Montreal, Quebec G9A 9T6",Montreal,Quebec,Unemployed,0,Common-law
174,Charles,Turner,1986-03-10,40,"5837 Water St, Lethbridge, Alberta S5K 2G9",Lethbridge,Alberta,Part-time,15308,Divorced
175,Nicholas,Torres,1997-10-26,29,"2196 Elm St, Mississauga, Ontario R3F 1D0",Mississauga,Ontario,Unemployed,0,Common-law
176,Karen,Thomas,1990-12-28,36,"8768 Johnson St, Red Deer, Alberta E5B 0T0",Red Deer,Alberta,Full-time,65240,Married
177,Nicole,Morales,1992-09-17,34,"4549 Washington Ave, Calgary, Alberta C3Y 0W9",Calgary,Alberta,Unemployed,0,Single
178,Charles,Phillips,2004-05-11,22,"7536 High St, Steinbach, Manitoba J1L 1Z6",Steinbach,Manitoba,Unemployed,0,Married
179,Andrew,Collins,1987-12-06,39,"5330 Washington Ave, Winnipeg, Manitoba X4A 8H3",Winnipeg,Manitoba,Part-time,20778,Married
180,Gary,Gonzalez,2008-02-21,18,"2971 Water St, Brandon, Manitoba Q0J 2Z9",Brandon,Manitoba,Full-time,70694,Widowed
181,Mark,Peterson,1989-02-02,37,"6954 Clinton St, Steinbach, Manitoba L5D 7T2",Steinbach,Manitoba,Full-time,52369,Married
182,Thomas,Morgan,1998-02-06,28,"7314 Madison Ave, Victoria, British Columbia M6V 3Z8",Victoria,British Columbia,Full-time,49990,Divorced
183,Daniel,King,1990-09-18,36,"6258 Washington Ave, Quebec City, Quebec O6H 2Q1",Quebec City,Quebec,Part-time,19150,Common-law
184,Jessica,Miller,2004-08-05,22,"7069 Mill St, Steinbach, Manitoba A9C 8A2",Steinbach,Manitoba,Part-time,23271,Widowed
185,Anthony,Ramirez,2000-03-22,26,"5219 King St, Red Deer, Alberta C3O 3O3",Red Deer,Alberta,Unemployed,0,Common-law
186,Lisa,Edwards,1990-09-07,36,"6701 Maple Ave, Brampton, Ontario Y7H 4D0",Brampton,Ontario,Part-time,15593,Widowed
187,Scott,Morris,1993-05-31,33,"7067 First Ave, Edmonton, Alberta X8C 2J4",Edmonton,Alberta,Part-time,17914,Divorced
188,Ryan,Wright,2007-03-24,19,"6263 First Ave, Lethbridge, Alberta M3Y 6P5",Lethbridge,Alberta,Part-time,20421,Married
189,Carol,Murphy,1992-09-05,34,"2057 Park Ave, Edmonton, Alberta A1I 0E1",Edmonton,Alberta,Full-time,67427,Widowed
190,Ashley,Ortiz,1995-10-03,31,"4617 Church St, Red Deer, Alberta T9Z 0C0",Red Deer,Alberta,Part-time,24519,Single
191,John,Hernandez,1996-10-26,30,"5026 Park Ave, Quebec City, Quebec U0P 9T7",Quebec City,Quebec,Part-time,17640,Single
192,Barbara,Mitchell,1989-01-15,37,"9577 Johnson St, Mississauga, Ontario R5K 0A5",Mississauga,Ontario,Part-time,21934,Single
193,Patricia,Scott,2006-05-22,20,"524 King St, Edmonton, Alberta Y1Y 7Z8",Edmonton,Alberta,Unemployed,0,Single
194,Jeffrey,Hall,1989-07-04,37,"2671 King St, Toronto, Ontario S6C 0D0",Toronto,Ontario,Part-time,16751,Married
195,Sarah,Morgan,1984-05-06,42,"3557 Mill St, Brampton, Ontario S5P 3U9",Brampton,Ontario,Full-time,71415,Married
